organisation,status_codes
bl.worst.nosolicitado.org,"127.0.0.2"
orvedb.aupads.org,"127.0.0.2,127.0.0.3,127.0.0.4"
rsbl.aupads.org,"127.0.0.2,127.0.0.3,127.0.0.4"
psbl.surriel.com,"127.0.0.2"
all.s5h.net,"127.0.0.2"
rbl.schulte.org,"127.0.0.2"
backscatter.spameatingmonkey.net,"127.0.0.2"
bl.spameatingmonkey.net,"127.0.0.2"
uribl.spameatingmonkey.net,"127.0.0.2"
korea.services.net,"127.0.0.2"
bl.spamcop.net,"127.0.0.2"
netblockbl.spamgrouper.to,"127.0.0.2"
bl.suomispam.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5"
dbl.suomispam.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.9,127.0.1.2"
gl.suomispam.net,"127.0.0.2,127.0.1.2"
dnsrbl.swinog.ch,"127.0.0.2,127.0.0.3,127.0.0.9,127.0.0.10,127.0.0.11,127.0.1.8"
truncate.gbudb.net,"127.0.0.2"
blacklist.woody.ch,"127.0.0.6,127.0.0.8,127.0.0.10,127.0.0.11"
uri.blacklist.woody.ch,"127.0.0.7,127.0.0.9,127.0.0.10,127.0.0.11,127.0.1.8"
dnsbl.zapbl.net,"127.0.0.2"
rhsbl.zapbl.net,"127.0.0.2"
abuse.spfbl.net,"127.0.0.2,127.0.0.3"
dnsbl.spfbl.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5"
